id,marker,meanrr,medianrr,meanhr,sdnn,rmssd,nn50,p_nn50,vlf_percent,lf_percent,hf_percent,lf_hf,lf_n_u,hf_n_u,vlf_abs,lf_abs,hf_abs,recordingtime_s
enigma,cognitive,862.1798,867.1875,69.5911,85.7436,53.4779,97,29.4833,42.0148,41.352,16.6331,2.4861,71.3148,28.6852,1922.3386,1892.0144,761.03,283.6571
enigma,physical,800.2347,781.25,74.978,104.9981,70.7868,37,34.5794,28.5388,39.1204,32.3407,1.2096,54.7436,45.2564,2100.7897,2879.7192,2380.6531,85.6251
ff kut,baseline,727.3247,726.5625,82.4941,21.7421,19.3782,1,0.6098,12.6253,29.0738,58.3009,0.4987,33.2749,66.7251,29.9276,68.9178,138.199,119.2813
ff kut,cognitive,739.1425,734.375,81.1751,29.8049,21.3981,9,1.711,52.8526,23.2089,23.9385,0.9695,49.2262,50.7738,375.7071,164.9823,170.1688,388.789
ff kut,physical,625,625,96,29.6594,13.86,1,0.5263,72.1238,16.9169,10.9593,1.5436,60.6859,39.3141,606.3805,142.2286,92.14,118.75
flowman,baseline,880.5262,882.8125,68.1411,65.0212,47.0933,43,31.8519,6.5523,50.8977,42.55,1.1962,54.4665,45.5335,173.4212,1347.1192,1126.1801,118.871
flowman,cognitive,803.0862,796.875,74.7118,56.0016,41.4939,101,20.911,33.732,36.943,29.325,1.2598,55.7479,44.2521,780.3483,854.6329,678.3989,387.8906
flowman,physical,858.5881,859.375,69.8822,59.3963,40.2364,28,20.1439,37.8147,50.7827,11.4026,4.4536,81.6634,18.3366,1784.0488,2395.8627,537.9624,119.3438
frenchie,baseline,657.8039,648.4375,91.2126,41.4252,29.8255,21,11.6022,18.8507,18.7062,62.4431,0.2996,23.0516,76.9484,224.6611,222.9385,744.1916,119.0625
frenchie,cognitive,623.889,617.1875,96.171,28.3845,17.2722,4,0.6483,50.8423,25.4288,23.7289,1.0716,51.7291,48.2709,330.6179,165.3585,154.3043,384.9395
frenchie,physical,675.9696,671.875,88.7614,65.3558,33.0288,19,10.7345,32.835,56.6337,10.5312,5.3777,84.3204,15.6796,1234.6853,2129.5796,396.0017,119.6466
fuggony,baseline,714.5647,710.9375,83.9672,53.6988,27.7067,11,6.5476,14.1574,65.7573,20.0853,3.2739,76.6021,23.3979,436.6357,2028.053,619.4617,120.0469
